County,State,Full Name,FIPS
Adams,Wisconsin,"Adams County, Wisconsin",55001
Alexander,Illinois,"Alexander County, Illinois",17003
Allamakee,Iowa,"Allamakee County, Iowa",19005
Androscoggin,Maine,"Androscoggin County, Maine",23001
Aroostook,Maine,"Aroostook County, Maine",23003
Ashtabula,Ohio,"Ashtabula County, Ohio",39007
Baker,Georgia,"Baker County, Georgia",13007
Barnwell,South Carolina,"Barnwell County, South Carolina",45011
Bay,Michigan,"Bay County, Michigan",26017
Beltrami,Minnesota,"Beltrami County, Minnesota",27007
Benson,North Dakota,"Benson County, North Dakota",38005
Bladen,North Carolina,"Bladen County, North Carolina",37017
Blaine,Montana,"Blaine County, Montana",30005
Blue Earth,Minnesota,"Blue Earth County, Minnesota",27013
Boone,Iowa,"Boone County, Iowa",19015
Bremer,Iowa,"Bremer County, Iowa",19017
Broome,New York,"Broome County, New York",36007
Buchanan,Iowa,"Buchanan County, Iowa",19019
Buckingham,Virginia,"Buckingham County, Virginia",51029
Buffalo,Wisconsin,"Buffalo County, Wisconsin",55011
Calhoun,Michigan,"Calhoun County, Michigan",26025
Calhoun,South Carolina,"Calhoun County, South Carolina",45017
Caroline,Virginia,"Caroline County, Virginia",51033
Carroll,Illinois,"Carroll County, Illinois",17015
Cayuga,New York,"Cayuga County, New York",36011
Cedar,Iowa,"Cedar County, Iowa",19031
Cerro Gordo,Iowa,"Cerro Gordo County, Iowa",19033
Chester,South Carolina,"Chester County, South Carolina",45023
Chickasaw,Iowa,"Chickasaw County, Iowa",19037
Chickasaw,Mississippi,"Chickasaw County, Mississippi",28017
Chippewa,Minnesota,"Chippewa County, Minnesota",27023
Clallam,Washington,"Clallam County, Washington",53009
Clarke,Iowa,"Clarke County, Iowa",19039
Clay,Minnesota,"Clay County, Minnesota",27027
Clayton,Iowa,"Clayton County, Iowa",19043
Clinton,Iowa,"Clinton County, Iowa",19045
Colfax,New Mexico,"Colfax County, New Mexico",35007
Colleton,South Carolina,"Colleton County, South Carolina",45029
Columbia,Oregon,"Columbia County, Oregon",41009
Columbia,Wisconsin,"Columbia County, Wisconsin",55021
Conejos,Colorado,"Conejos County, Colorado",8021
Coos,New Hampshire,"Coos County, New Hampshire",33007
Corson,South Dakota,"Corson County, South Dakota",46031
Cortland,New York,"Cortland County, New York",36023
Cowlitz,Washington,"Cowlitz County, Washington",53015
Crawford,Wisconsin,"Crawford County, Wisconsin",55023
Day,South Dakota,"Day County, South Dakota",46037
Delaware,Indiana,"Delaware County, Indiana",18035
Des Moines,Iowa,"Des Moines County, Iowa",19057
Dooly,Georgia,"Dooly County, Georgia",13093
Door,Wisconsin,"Door County, Wisconsin",55029
Dubuque,Iowa,"Dubuque County, Iowa",19061
Dunn,Wisconsin,"Dunn County, Wisconsin",55033
Eaton,Michigan,"Eaton County, Michigan",26045
Elliott,Kentucky,"Elliott County, Kentucky",21063
Erie,Ohio,"Erie County, Ohio",39043
Erie,Pennsylvania,"Erie County, Pennsylvania",42049
Essex,New York,"Essex County, New York",36031
Essex,Vermont,"Essex County, Vermont",50009
Essex,Virginia,"Essex County, Virginia",51057
Fayette,Iowa,"Fayette County, Iowa",19065
Fillmore,Minnesota,"Fillmore County, Minnesota",27045
Floyd,Iowa,"Floyd County, Iowa",19067
Forest,Wisconsin,"Forest County, Wisconsin",55041
Franklin,Maine,"Franklin County, Maine",23007
Franklin,New York,"Franklin County, New York",36033
Freeborn,Minnesota,"Freeborn County, Minnesota",27047
Fulton,Illinois,"Fulton County, Illinois",17057
Gates,North Carolina,"Gates County, North Carolina",37073
Gloucester,New Jersey,"Gloucester County, New Jersey",34015
Gogebic,Michigan,"Gogebic County, Michigan",26053
Grant,Wisconsin,"Grant County, Wisconsin",55043
Granville,North Carolina,"Granville County, North Carolina",37077
Grays Harbor,Washington,"Grays Harbor County, Washington",53027
Hardeman,Tennessee,"Hardeman County, Tennessee",47069
Henderson,Illinois,"Henderson County, Illinois",17071
Henry,Illinois,"Henry County, Illinois",17073
Hidalgo,New Mexico,"Hidalgo County, New Mexico",35023
Hill,Montana,"Hill County, Montana",30041
Hillsborough,New Hampshire,"Hillsborough County, New Hampshire",33011
Houston,Minnesota,"Houston County, Minnesota",27055
Howard,Iowa,"Howard County, Iowa",19089
Huerfano,Colorado,"Huerfano County, Colorado",8055
Isabella,Michigan,"Isabella County, Michigan",26073
Itasca,Minnesota,"Itasca County, Minnesota",27061
Jackson,Iowa,"Jackson County, Iowa",19097
Jackson,Wisconsin,"Jackson County, Wisconsin",55053
Jasper,Iowa,"Jasper County, Iowa",19099
Jefferson,Florida,"Jefferson County, Florida",12065
Jefferson,Iowa,"Jefferson County, Iowa",19101
Jefferson,Texas,"Jefferson County, Texas",48245
Jo Daviess,Illinois,"Jo Daviess County, Illinois",17085
Jones,Iowa,"Jones County, Iowa",19105
Juneau,Wisconsin,"Juneau County, Wisconsin",55057
Kennebec,Maine,"Kennebec County, Maine",23011
Kenosha,Wisconsin,"Kenosha County, Wisconsin",55059
Kent,Delaware,"Kent County, Delaware",10001
Kent,Rhode Island,"Kent County, Rhode Island",44003
Kittson,Minnesota,"Kittson County, Minnesota",27069
Knox,Illinois,"Knox County, Illinois",17095
Koochiching,Minnesota,"Koochiching County, Minnesota",27071
Lac qui Parle,Minnesota,"Lac qui Parle County, Minnesota",27073
Lafayette,Wisconsin,"Lafayette County, Wisconsin",55065
Lake,Michigan,"Lake County, Michigan",26085
LaPorte,Indiana,"LaPorte County, Indiana",18091
Las Animas,Colorado,"Las Animas County, Colorado",8071
Lee,Iowa,"Lee County, Iowa",19111
Lincoln,Wisconsin,"Lincoln County, Wisconsin",55069
Louisa,Iowa,"Louisa County, Iowa",19115
Luzerne,Pennsylvania,"Luzerne County, Pennsylvania",42079
Macomb,Michigan,"Macomb County, Michigan",26099
Madison,New York,"Madison County, New York",36053
Mahnomen,Minnesota,"Mahnomen County, Minnesota",27087
Manistee,Michigan,"Manistee County, Michigan",26101
Marquette,Wisconsin,"Marquette County, Wisconsin",55077
Marshall,Iowa,"Marshall County, Iowa",19127
Marshall,South Dakota,"Marshall County, South Dakota",46091
Martin,North Carolina,"Martin County, North Carolina",37117
Mason,Washington,"Mason County, Washington",53045
McCormick,South Carolina,"McCormick County, South Carolina",45065
Mercer,Illinois,"Mercer County, Illinois",17131
Mitchell,Iowa,"Mitchell County, Iowa",19131
Monroe,Florida,"Monroe County, Florida",12087
Monroe,Michigan,"Monroe County, Michigan",26115
Montgomery,Ohio,"Montgomery County, Ohio",39113
Mower,Minnesota,"Mower County, Minnesota",27099
Muscatine,Iowa,"Muscatine County, Iowa",19139
Nelson,Virginia,"Nelson County, Virginia",51125
Niagara,New York,"Niagara County, New York",36063
Nicollet,Minnesota,"Nicollet County, Minnesota",27103
Norman,Minnesota,"Norman County, Minnesota",27107
Northampton,Pennsylvania,"Northampton County, Pennsylvania",42095
Orange,New York,"Orange County, New York",36071
Oswego,New York,"Oswego County, New York",36075
Otsego,New York,"Otsego County, New York",36077
Ottawa,Ohio,"Ottawa County, Ohio",39123
Oxford,Maine,"Oxford County, Maine",23017
Pacific,Washington,"Pacific County, Washington",53049
Panola,Mississippi,"Panola County, Mississippi",28107
Peach,Georgia,"Peach County, Georgia",13225
Penobscot,Maine,"Penobscot County, Maine",23019
Pepin,Wisconsin,"Pepin County, Wisconsin",55091
Perry,Indiana,"Perry County, Indiana",18123
Pinellas,Florida,"Pinellas County, Florida",12103
Portage,Ohio,"Portage County, Ohio",39133
Porter,Indiana,"Porter County, Indiana",18127
Poweshiek,Iowa,"Poweshiek County, Iowa",19157
Price,Wisconsin,"Price County, Wisconsin",55099
Pueblo,Colorado,"Pueblo County, Colorado",8101
Putnam,Illinois,"Putnam County, Illinois",17155
Quitman,Georgia,"Quitman County, Georgia",13239
Racine,Wisconsin,"Racine County, Wisconsin",55101
Ransom,North Dakota,"Ransom County, North Dakota",38073
Rensselaer,New York,"Rensselaer County, New York",36083
Rice,Minnesota,"Rice County, Minnesota",27131
Richland,Wisconsin,"Richland County, Wisconsin",55103
Richmond,North Carolina,"Richmond County, North Carolina",37153
Roberts,South Dakota,"Roberts County, South Dakota",46109
Robeson,North Carolina,"Robeson County, North Carolina",37155
Roosevelt,Montana,"Roosevelt County, Montana",30085
Saginaw,Michigan,"Saginaw County, Michigan",26145
Salem,New Jersey,"Salem County, New Jersey",34033
Sandusky,Ohio,"Sandusky County, Ohio",39143
Saratoga,New York,"Saratoga County, New York",36091
Sargent,North Dakota,"Sargent County, North Dakota",38081
Sauk,Wisconsin,"Sauk County, Wisconsin",55111
Sawyer,Wisconsin,"Sawyer County, Wisconsin",55113
Seneca,New York,"Seneca County, New York",36099
Shiawassee,Michigan,"Shiawassee County, Michigan",26155
Somerset,Maine,"Somerset County, Maine",23025
St. Lawrence,New York,"St. Lawrence County, New York",36089
St. Lucie,Florida,"St. Lucie County, Florida",12111
Stark,Ohio,"Stark County, Ohio",39151
Steele,North Dakota,"Steele County, North Dakota",38091
Suffolk,New York,"Suffolk County, New York",36103
Sullivan,New Hampshire,"Sullivan County, New Hampshire",33019
Sullivan,New York,"Sullivan County, New York",36105
Swift,Minnesota,"Swift County, Minnesota",27151
Tama,Iowa,"Tama County, Iowa",19171
Thurston,Nebraska,"Thurston County, Nebraska",31173
Tillamook,Oregon,"Tillamook County, Oregon",41057
Traverse,Minnesota,"Traverse County, Minnesota",27155
Trempealeau,Wisconsin,"Trempealeau County, Wisconsin",55121
Trumbull,Ohio,"Trumbull County, Ohio",39155
Twiggs,Georgia,"Twiggs County, Georgia",13289
Union,Iowa,"Union County, Iowa",19175
Valencia,New Mexico,"Valencia County, New Mexico",35061
Van Buren,Michigan,"Van Buren County, Michigan",26159
Vernon,Wisconsin,"Vernon County, Wisconsin",55123
Vigo,Indiana,"Vigo County, Indiana",18167
Wapello,Iowa,"Wapello County, Iowa",19179
Warren,Illinois,"Warren County, Illinois",17187
Warren,New York,"Warren County, New York",36113
Washington,Maine,"Washington County, Maine",23029
Washington,New York,"Washington County, New York",36115
Webster,Iowa,"Webster County, Iowa",19187
Westmoreland,Virginia,"Westmoreland County, Virginia",51193
Whiteside,Illinois,"Whiteside County, Illinois",17195
Windham,Connecticut,"Windham County, Connecticut",9015
Winnebago,Wisconsin,"Winnebago County, Wisconsin",55139
Winneshiek,Iowa,"Winneshiek County, Iowa",19191
Winona,Minnesota,"Winona County, Minnesota",27169
Wood,Ohio,"Wood County, Ohio",39173
Woodruff,Arkansas,"Woodruff County, Arkansas",5147
Worth,Iowa,"Worth County, Iowa",19195
Ziebach,South Dakota,"Ziebach County, South Dakota",46137